trigger_code,cluster_code,primary_therapy_area,subtopic_title,doctor_trigger_label,navigation_pathways,trigger_search_keywords
SM_SUSPECT_TYPHOID_PROLONGED_FEVER,SUSPECTED_MONITORING,Fever & common infections,Prolonged fever with stomach symptoms – suspecting typhoid while tests are pending,Suspected typhoid – prolonged fever & tests,Fever & common infections|Stomach & digestion|Medicine use & antibiotics,prolonged fever|suspected typhoid|Widal|blood culture advised|unsafe water|street food|when to start antibiotics|when to admit
PV_CRADLE_CAP_INFANT,PREVENTIVE_CARE,Skin & allergy,Cradle cap (infant scalp flakes) – what to do at home and when to seek help,Cradle cap – gentle scalp care,Newborn & infant care|Skin & allergy,cradle cap|seborrheic dermatitis|infant scalp flakes|baby dandruff|yellow scales|scalp rash
SM_SUSPECT_LACTOSE_INTOL_TRIAL,SUSPECTED_MONITORING,Stomach & digestion,Diarrhea or gas after milk – suspected lactose intolerance trial and when to review,Suspected lactose intolerance – short diet trial,"Stomach & digestion|Feeding, nutrition & growth",lactose intolerance|secondary lactose intolerance|milk diarrhea|bloating|gas|post gastroenteritis|lactose-free|lactase drops
PV_PRETERM_HOMECARE,PREVENTIVE_CARE,Newborn & infant care,"Caring for a preterm baby after discharge – feeding, warmth, infection warning signs","Preterm baby at home – feeding, warmth & danger signs","Newborn & infant care|Feeding, nutrition & growth|Safety & first aid",preterm baby|premature|nicu discharge|kangaroo care|low birth weight|lbw|temperature|apnea|feeding|danger signs
PV_DEV_SPEECH_LANGUAGE,PREVENTIVE_CARE,Child development & behaviour,"Speech and language milestones – what’s normal, home activities, and when to seek help",Speech & language development – early milestones,Child development & behaviour|Newborn & infant care|Preventive care,speech delay|language delay|milestones|late talking|toddler speech|early intervention|reading to child|play and talk
PV_VACC_FLU,PREVENTIVE_CARE,Vaccines & injections,"Seasonal influenza vaccine for children – benefits, timing and common questions",Flu vaccine – who needs it and when,Vaccines & injections|Fever & common infections,flu vaccine|influenza vaccine|seasonal influenza|annual vaccine|flu shot|prevention
AD_ANIMAL_BITE_RABIES,ACUTE_DIAGNOSED,Safety & first aid,"Dog/cat bite or scratch – immediate washing, rabies vaccine plan and urgent warning signs",Animal bite – first aid & rabies prevention,Safety & first aid|Vaccines & injections,dog bite|cat bite|animal bite|rabies|rabies vaccine|rabies immunoglobulin|scratch|wound washing
SM_AIR_POLLUTION_RESP,SUSPECTED_MONITORING,Breathing & chest problems,High pollution days – reduce exposure and know when cough/wheeze needs medical review,Air pollution – protecting children with cough/wheeze,Breathing & chest problems|Chronic conditions|Safety & first aid,air pollution|aqi|smog|pm2.5|indoor air|air purifier|mask|asthma trigger|wheeze
DRG_POST_VIRAL_RECOVERY_SUPP,DRUG_OR_DEVICE,Fever & common infections,"Post-viral recovery (incl. COVID) – fatigue, low appetite & repeated minor infections – zinc/micronutrient course",Post-viral recovery – zinc/micronutrients,"Fever & common infections|Feeding, nutrition & growth|Medicine use & antibiotics",post viral recovery|post-covid|post covid|long covid|tiredness|fatigue|low appetite|poor intake|recurrent minor infections|falls sick repeatedly|zinc syrup|micronutrient|multinutrient|immune support|supplement course
DRG_FIRST_1000_DAYS_MICRO,DRUG_OR_DEVICE,"Feeding, nutrition & growth","Strong start in first 1,000 days – micronutrient drops/syrup counselling for growth, feeding and immunity","First 1,000 days – micronutrient drops","Feeding, nutrition & growth|Newborn & infant care|Fever & common infections","first 1000 days|1,000 days|micronutrient drops|multinutrient drops|vitamin drops|mineral drops|syrup|under 2 years|infant|toddler|poor weight gain|feeding concerns|complementary feeding delay|frequent infections"
DRG_PRETERM_LBW_IMMUNE_SUPPORT,DRUG_OR_DEVICE,Newborn & infant care,"Preterm / LBW baby – zinc or multinutrient drops for immune support, vaccine responsiveness & fewer chest infections",Preterm/LBW – immune support drops,"Newborn & infant care|Breathing & chest problems|Vaccines & injections|Feeding, nutrition & growth",preterm|premature|LBW|low birth weight|NICU baby|vulnerable newborn|zinc drops|multinutrient drops|immune support|vaccine responsiveness|vaccine response|recurrent chest infections|LRTI|bronchiolitis|RSV|prophylaxis
DRG_ZINC_MULTIMINERAL_SUPPORT,DRUG_OR_DEVICE,"Feeding, nutrition & growth","Mineral-rich supplements – zinc/copper/selenium for wound healing, skin problems, fractures & taste/appetite",Minerals for healing & appetite (zinc),"Feeding, nutrition & growth|Skin & allergy|Safety & first aid",zinc|copper|selenium|multimineral|multinutrient|poor wound healing|slow healing|frequent fractures|bone strength|dermatoses|skin problems|eczema|hair fall|ageusia|no taste|loss of taste|poor appetite|picky eater|underweight
DRG_TEEN_STRESS_MICRONUTRIENT,DRUG_OR_DEVICE,Teen & adolescent health,"Adolescent exam stress – low appetite, fatigue & frequent minor illnesses – micronutrient supplement and lifestyle counselling",Exam stress – appetite & nutrition support,"Teen & adolescent health|Feeding, nutrition & growth|Child development & behaviour",exam stress|adolescent|teen|board exams|academic stress|low appetite|reduced intake|fatigue|tiredness|frequent minor illness|micronutrient supplement|zinc|multivitamin|sleep|routine
DRG_HYDRATION_SICK_CHILD,DRUG_OR_DEVICE,Fever & common infections,"Safe fluids during illness – fever/diarrhoea hydration, ORS use & avoiding too much plain water or sports/energy drinks",Sick child hydration – ORS & safe fluids,Fever & common infections|Stomach & digestion|Safety & first aid,safe fluids|hydration|fever|diarrhea|vomiting|ORS|oral rehydration solution|hyponatraemia|hyponatremia|low sodium|too much water|febrile seizure|sports drink|energy drink|electrolyte drink|home fluids
